Date,Severity,Host,IP,Message,
 09:23:00,4,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:23.410 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/9 is operationally individual,
 09:23:00,4,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:12.012 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/9 is operationally individual,
 09:23:00,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:23.405 PRC: %LACP-FEX108-5-LACP_SUSPEND_INDIVIDUAL: LACP port Ethernet108/1/7(0x1f6b0180) of port-channel port-channel12(0x1600000b) not receiving any LACP BPDUs  suspending (individual) port ,
 09:23:00,4,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:23.401 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/7 is operationally individual,
 09:23:00,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:12.002 PRC: %LACP-FEX108-5-LACP_SUSPEND_INDIVIDUAL: LACP port Ethernet108/1/7(0x1f6b0180) of port-channel port-channel12(0x1600000b) not receiving any LACP BPDUs  suspending (individual) port ,
 09:23:00,4,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:11.992 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/7 is operationally individual,
 09:23:00,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:23.350 PRC: %LACP-FEX108-5-LACP_SUSPEND_INDIVIDUAL: LACP port Ethernet108/1/6(0x1f6b0140) of port-channel port-channel12(0x1600000b) not receiving any LACP BPDUs  suspending (individual) port ,
 09:23:00,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:11.955 PRC: %LACP-FEX108-5-LACP_SUSPEND_INDIVIDUAL: LACP port Ethernet108/1/6(0x1f6b0140) of port-channel port-channel12(0x1600000b) not receiving any LACP BPDUs  suspending (individual) port ,
 09:23:00,4,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:23.345 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/6 is operationally individual,
 09:23:00,4,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:11.946 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/6 is operationally individual,
 09:22:57,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:20.664 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/8 is down,
 09:22:57,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:09.207 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/8 is down,
 09:22:57,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:20.576 PRC: %LACP-FEX108-5-LACP_SUSPEND_INDIVIDUAL: LACP port Ethernet108/1/8(0x1f6b01c0) of port-channel port-channel12(0x1600000b) not receiving any LACP BPDUs  suspending (individual) port ,
 09:22:57,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:09.179 PRC: %LACP-FEX108-5-LACP_SUSPEND_INDIVIDUAL: LACP port Ethernet108/1/8(0x1f6b01c0) of port-channel port-channel12(0x1600000b) not receiving any LACP BPDUs  suspending (individual) port ,
 09:22:57,4,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:43:09.174 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/8 is operationally individual,
 09:22:57,4,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:20.554 PRC: %ETH_PORT_CHANNEL-4-PORT_INDIVIDUAL: port Ethernet108/1/8 is operationally individual,
 09:22:52,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:22:51.842.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207316]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:22:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:22:41.349: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:22:41,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:42:53.580 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/9 is down,
 09:22:41,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:42:53.576 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/7 is down,
 09:22:41,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:42:53.570 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/8 is down,
